Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
76,Valle del Cauca,76020,Alcalá,Educación,Acceso a la educación,Cobertura bruta en educación - Total,84.12,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76036,Andalucía,Educación,Acceso a la educación,Cobertura bruta en educación - Total,113.97,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76041,Ansermanuevo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.53,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76054,Argelia,Educación,Acceso a la educación,Cobertura bruta en educación - Total,88.52,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76100,Bolívar,Educación,Acceso a la educación,Cobertura bruta en educación - Total,97.86,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76109,Buenaventura,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.03,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76111,Guadalajara de Buga,Educación,Acceso a la educación,Cobertura bruta en educación - Total,109.98,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76113,Bugalagrande,Educación,Acceso a la educación,Cobertura bruta en educación - Total,80.56,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76122,Caicedonia,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.55,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76126,Calima,Educación,Acceso a la educación,Cobertura bruta en educación - Total,108.3,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76130,Candelaria,Educación,Acceso a la educación,Cobertura bruta en educación - Total,110.9,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76147,Cartago,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.05,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76233,Dagua,Educación,Acceso a la educación,Cobertura bruta en educación - Total,102.41,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76243,El Águila,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.02,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73000,Tolima,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.95,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73001,Ibagué,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.25,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73024,Alpujarra,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.38,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73026,Alvarado,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.26,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73854,Valle de San Juan,Educación,Acceso a la educación,Cobertura bruta en educación - Total,92.33,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73861,Venadillo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,74.42,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73870,Villahermosa,Educación,Acceso a la educación,Cobertura bruta en educación - Total,92.52,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73873,Villarrica,Educación,Acceso a la educación,Cobertura bruta en educación - Total,97.4,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73616,Rioblanco,Educación,Acceso a la educación,Cobertura bruta en educación - Total,86.13,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73622,Roncesvalles,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.29,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73624,Rovira,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.13,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73671,Saldaña,Educación,Acceso a la educación,Cobertura bruta en educación - Total,97.25,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73675,San Antonio,Educación,Acceso a la educación,Cobertura bruta en educación - Total,87.06,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73678,San Luis,Educación,Acceso a la educación,Cobertura bruta en educación - Total,72.09,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73686,Santa Isabel,Educación,Acceso a la educación,Cobertura bruta en educación - Total,101.46,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73770,Suárez,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.91,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73030,Ambalema,Educación,Acceso a la educación,Cobertura bruta en educación - Total,102.88,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73043,Anzoátegui,Educación,Acceso a la educación,Cobertura bruta en educación - Total,50.91,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73055,Armero,Educación,Acceso a la educación,Cobertura bruta en educación - Total,100.75,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73067,Ataco,Educación,Acceso a la educación,Cobertura bruta en educación - Total,84.11,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73124,Cajamarca,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.86,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73148,Carmen de Apicalá,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.49,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73152,Casabianca,Educación,Acceso a la educación,Cobertura bruta en educación - Total,88.32,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73168,Chaparral,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.6,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73200,Coello,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.75,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
